t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,27000000,0,0,19900,27000000,19900,-55112629.63,5.373e+11,0.5645295058,0
29.97600001,26995788.41,596491.3848,-280.9774639,19896.89618,27002377.56,19898.88002,-55112629.63,5.373e+11,0.5645295058,1.4988
122.652,26929568.11,2438653.355,-1147.140316,19848.16542,27039760.88,19881.28772,-55112629.63,5.373e+11,0.5645295058,4.6338
215.456,26783189.29,4276112.601,-2005.350995,19740.9236,27122396.05,19842.51741,-55112629.63,5.373e+11,0.5645295058,4.6402
310.588,26551193.27,6146545.359,-2868.667957,19572.28803,27253364.64,19781.39819,-55112629.63,5.373e+11,0.5645295058,4.7566
404.554,26242439.02,7975664.878,-3698.685214,19350.35557,27427665.52,19700.67342,-55112629.63,5.373e+11,0.5645295058,4.6983
495.789,25869237.97,9729380.076,-4477.570149,19085.83542,27638348.53,19604.02377,-55112629.63,5.373e+11,0.5645295058,4.56175
587.56,25423562.18,11466976.72,-5229.625398,18775.18201,27889945.66,19489.90614,-55112629.63,5.373e+11,0.5645295058,4.58855
680.916,24901025.77,13203384.32,-5958.508704,18418.01715,28184932.89,19357.87131,-55112629.63,5.373e+11,0.5645295058,4.6678
775.328,24305242.86,14923739.72,-6655.460736,18019.80086,28521269.92,19209.59085,-55112629.63,5.373e+11,0.5645295058,4.7206
872.856,23622847.51,16659740.29,-7330.641842,17575.07898,28906502.23,19042.62878,-55112629.63,5.373e+11,0.5645295058,4.8764
967.41,22900526.99,18300068.11,-7940.409302,17117.07198,29314273.47,18869.13493,-55112629.63,5.373e+11,0.5645295058,4.7277
1061.745,22124524.21,19892404.47,-8504.236436,16639.01495,29752349.94,18686.32805,-55112629.63,5.373e+11,0.5645295058,4.71675
1156.979,21289312.54,21453353.47,-9028.481221,16139.96696,30223851.57,18493.56663,-55112629.63,5.373e+11,0.5645295058,4.7617
1249.301,20433965.5,22920639.61,-9494.292758,15644.7723,30706720.21,18300.28675,-55112629.63,5.373e+11,0.5645295058,4.6161
1342.076,19533004.13,24348699.53,-9921.492907,15139.73725,31215339.49,18101.04046,-55112629.63,5.373e+11,0.5645295058,4.63875
1436.186,18580488,25749222.75,-10314.4914,14623.39758,31753062.95,17895.04093,-55112629.63,5.373e+11,0.5645295058,4.7055
1530.146,17594428.5,27098971.6,-10668.14472,14106.9799,32309722.63,17686.61057,-55112629.63,5.373e+11,0.5645295058,4.698
1624.653,16570869.66,28407698.64,-10986.86594,13589.41492,32887551.8,17475.22306,-55112629.63,5.373e+11,0.5645295058,4.72535
1718.299,15528560.68,29656434.39,-11268.21527,13080.73024,33475965.97,17264.94074,-55112629.63,5.373e+11,0.5645295058,4.6823
1814.793,14428614.75,30893605.92,-11524.5187,12562.9566,34096917.9,17048.23773,-55112629.63,5.373e+11,0.5645295058,4.8247
1909.433,13327267.43,32058842.18,-11745.03148,12063.07972,34718660.96,16836.37897,-55112629.63,5.373e+11,0.5645295058,4.732
2002.439,12225912.41,33158279.95,-11934.10209,11580.78818,35340408.36,16629.41513,-55112629.63,5.373e+11,0.5645295058,4.6503
2097.482,11083520.59,34235931.26,-12101.13394,11098.13523,35985322.26,16419.68478,-55112629.63,5.373e+11,0.5645295058,4.75215
2191.935,9933652.84,35261961.75,-12242.94885,10629.48419,36634456.53,16213.4429,-55112629.63,5.373e+11,0.5645295058,4.72265
2286.52,8769819.903,36245611.24,-12362.75293,10171.75546,37291474.56,16009.44312,-55112629.63,5.373e+11,0.5645295058,4.72925
2393.576,7440144.763,37307462.94,-12473.84594,9668.152612,38042115.41,15781.95195,-55112629.63,5.373e+11,0.5645295058,5.3528
2508.351,6002881.414,38386968.25,-12566.75254,9145.686094,38853492.98,15542.42078,-55112629.63,5.373e+11,0.5645295058,5.73875
2619.451,4602809.613,39375766.08,-12633.45793,8657.302592,39643874.82,15315.12806,-55112629.63,5.373e+11,0.5645295058,5.555
2725.133,3265179.043,40266839.36,-12677.86646,8208.550752,40399006.75,15103.26466,-55112629.63,5.373e+11,0.5645295058,5.2841
2835.878,1859422.396,41150609.55,-12706.5137,7754.674859,41192597.85,14885.91524,-55112629.63,5.373e+11,0.5645295058,5.53725
2944.685,476067.9861,41970842.34,-12718.66071,7324.786687,41973542.23,14677.08521,-55112629.63,5.373e+11,0.5645295058,5.44035
3055.716,-936103.081,42760509.22,-12716.43207,6902.135963,42770754.47,14468.8329,-55112629.63,5.373e+11,0.5645295058,5.55155
3165.215,-2327821.896,43494172.46,-12701.30093,6500.743473,43556420.8,14268.24134,-55112629.63,5.373e+11,0.5645295058,5.47495
3266.433,-3612275.099,44133950.56,-12677.08726,6142.927026,44281532.53,14087.01863,-55112629.63,5.373e+11,0.5645295058,5.0609
3360.134,-4798767.652,44694463.07,-12646.79198,5822.656814,44951342.59,13922.81149,-55112629.63,5.373e+11,0.5645295058,4.68505
3459.846,-6057884.133,45258524.87,-12607.04628,5493.059461,45662150.99,13751.77509,-55112629.63,5.373e+11,0.5645295058,4.9856
3555.653,-7263631.408,45770051.73,-12562.27112,5186.909503,46342830.91,13590.9781,-55112629.63,5.373e+11,0.5645295058,4.79035
3650.813,-8456710.153,46249562.95,-12512.03519,4892.701559,47016359.06,13434.64004,-55112629.63,5.373e+11,0.5645295058,4.758
3742.407,-9600333.384,46685081.17,-12458.7785,4618.494366,47661968.12,13287.27406,-55112629.63,5.373e+11,0.5645295058,4.5797
3834.962,-10750793.32,47100056.89,-12400.5457,4350.042507,48311436.7,13141.40036,-55112629.63,5.373e+11,0.5645295058,4.62775
3927.463,-11895008.3,47490354.98,-12338.33529,4090.112541,48957379.81,12998.59755,-55112629.63,5.373e+11,0.5645295058,4.62505
4018.409,-13014213.77,47851012.8,-12273.63808,3842.415192,49589204.33,12861.03986,-55112629.63,5.373e+11,0.5645295058,4.5473
4111.13,-14149053.07,48195877.31,-12204.42401,3597.620415,50229854.59,12723.63305,-55112629.63,5.373e+11,0.5645295058,4.63605
4205.226,-15294016.17,48523013.46,-12131.15763,3356.889664,50876220.05,12587.04467,-55112629.63,5.373e+11,0.5645295058,4.7048
