t,type,r,v,details
2914.9114,apocenter,7000826.621,7545.109008,{"ecc": 5.904088221653225e-05, "energy": -28467696.28571415}
5830.868141,pericenter,7000000.001,7545.999999,{"ecc": 5.9040882237293424e-05, "energy": -28467696.28571448}
8744.574069,apocenter,7000826.621,7545.109008,{"ecc": 5.904088213726233e-05, "energy": -28467696.285714403}
11659.70412,pericenter,7000000,7546,{"ecc": 5.9040882245620097e-05, "energy": -28467696.285714213}
14574.35464,apocenter,7000826.621,7545.109008,{"ecc": 5.9040882127825434e-05, "energy": -28467696.285714276}
17488.52591,pericenter,7000000,7546,{"ecc": 5.904088222663528e-05, "energy": -28467696.285714604}
20403.16694,apocenter,7000826.621,7545.109008,{"ecc": 5.904088213837255e-05, "energy": -28467696.285714667}
23317.87665,pericenter,7000000,7546,{"ecc": 5.9040882231076175e-05, "energy": -28467696.2857145}
26232.9764,apocenter,7000826.621,7545.109008,{"ecc": 5.904088213981584e-05, "energy": -28467696.285714444}
