t,type,r,v,details
3599.3262,apocenter,3845467.317,3320.272662,{"ecc": 0.0059469794447274404, "energy": -5578057.89473741}
7197.371,pericenter,3800000.342,3359.9997,{"ecc": 0.005946979452138068, "energy": -5578057.894737364}
10793.3027,apocenter,3845467.064,3320.272881,{"ecc": 0.005946979443191114, "energy": -5578057.8947385205}
14387.1507,pericenter,3800000.209,3359.999816,{"ecc": 0.005946979451107559, "energy": -5578057.894738483}
17981.261,apocenter,3845467.337,3320.272644,{"ecc": 0.005946979441393996, "energy": -5578057.894739819}
21575.9072,pericenter,3800000.055,3359.999952,{"ecc": 0.0059469794499498185, "energy": -5578057.894739809}
25171.344,apocenter,3845467.389,3320.272598,{"ecc": 0.005946979441231015, "energy": -5578057.894740947}
28770.93375,pericenter,3800000.359,3359.999684,{"ecc": 0.005946979449245493, "energy": -5578057.894740926}
32366.1208,apocenter,3845467.127,3320.272826,{"ecc": 0.005946979438541944, "energy": -5578057.894742321}
35962.12085,pericenter,3800000.365,3359.999679,{"ecc": 0.005946979447370437, "energy": -5578057.894742423}
39558.2712,apocenter,3845467.014,3320.272925,{"ecc": 0.005946979435644706, "energy": -5578057.894744067}
43151.1932,pericenter,3800000.169,3359.999851,{"ecc": 0.00594697944393674, "energy": -5578057.89474413}
46746.31665,apocenter,3845467.304,3320.272672,{"ecc": 0.005946979434132915, "energy": -5578057.8947454775}
50341.9375,pericenter,3800000.14,3359.999877,{"ecc": 0.005946979441899369, "energy": -5578057.894745441}
53938.2118,apocenter,3845467.248,3320.272721,{"ecc": 0.0059469794289322975, "energy": -5578057.894747356}
57532.287,pericenter,3800000.091,3359.99992,{"ecc": 0.005946979437641664, "energy": -5578057.894747424}
61127.515,apocenter,3845467.367,3320.272618,{"ecc": 0.005946979425108578, "energy": -5578057.894749059}
64724.963,pericenter,3800000.198,3359.999826,{"ecc": 0.005946979433429145, "energy": -5578057.894749012}
68318.5865,apocenter,3845467.37,3320.272615,{"ecc": 0.005946979423318566, "energy": -5578057.8947503595}
