t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,75000000,0,0,58080,75000000,58080,-2323733.333,4.356e+12,0.9972483377,0
889.994,66703142.24,49852326.66,-17408.86302,52293.30368,83274027.52,55114.9537,-2323737.804,4.356e+12,0.9972483324,44.4997
957.505,65495171.92,53357556.12,-18367.21828,51545.32801,84478673.88,54719.97393,-2323737.804,4.356e+12,0.9972483324,3.37555
1022.638,64270257.99,56690926.69,-19236.50538,50808.3332,85700217.22,54327.98416,-2323737.804,4.356e+12,0.9972483324,3.25665
1086.849,63008948.82,59929757.32,-20041.36249,50071.07829,86958055.66,53933.00559,-2323737.804,4.356e+12,0.9972483324,3.21055
1150.583,61707503.48,63097475.37,-20790.39218,49332.39184,88255919.83,53534.3375,-2323737.804,4.356e+12,0.9972483324,3.1867
1214.228,60361773.75,66213656.39,-21490.37821,48591.07509,89597946.53,53131.24255,-2323737.804,4.356e+12,0.9972483324,3.18225
1277.478,58981720.02,69263715.43,-22140.22703,47853.56572,90974202.78,52727.16003,-2323737.804,4.356e+12,0.9972483324,3.1625
1339.772,57583699.71,72222118.82,-22737.43448,47128.86318,92368376.18,52327.05487,-2323737.804,4.356e+12,0.9972483324,3.1147
1407.134,56031587.7,75370531.68,-23337.56448,46349.48719,93916217.27,51893.3221,-2323737.804,4.356e+12,0.9972483324,3.3681
1475.865,54407865.89,78529041.57,-23903.42819,45561.18225,95535471.11,51450.90094,-2323737.804,4.356e+12,0.9972483324,3.43655
1539.703,52866214.75,81414417.58,-24389.22212,44837.0608,97072880.11,51041.12241,-2323737.804,4.356e+12,0.9972483324,3.1919
1605.827,51237918.47,84354688.55,-24854.27826,44096.73861,98696695.84,50618.74657,-2323737.804,4.356e+12,0.9972483324,3.3062
1670.568,49615052.11,87186382,-25274.17009,43382.73285,100315096.6,50208.01911,-2323737.804,4.356e+12,0.9972483324,3.23705
1737.359,47913462.51,90059697.21,-25672.83012,42658.42179,102012004,49787.9017,-2323737.804,4.356e+12,0.9972483324,3.33955
1800.417,46283521.57,92728413.71,-26019.00078,41986.85116,103637459.8,49395.18268,-2323737.804,4.356e+12,0.9972483324,3.1529
1864.746,44599149.31,95407693.14,-26343.81366,41314.63353,105317197.2,48998.93328,-2323737.804,4.356e+12,0.9972483324,3.21645
1927.441,42938280.74,97977715.89,-26634.56857,40672.46702,106973495.6,48617.38184,-2323737.804,4.356e+12,0.9972483324,3.13475
1991.22,41230775.53,100551289.6,-26905.8883,40032.67494,108676302.3,48234.23979,-2323737.804,4.356e+12,0.9972483324,3.18895
2054.11,39530848.37,103049461.3,-27150.83062,39415.33243,110371551.8,47861.63426,-2323737.804,4.356e+12,0.9972483324,3.1445
2115.681,37852287.89,105458033.8,-27370.31652,38824.07949,112045493.4,47502.03548,-2323737.804,4.356e+12,0.9972483324,3.07855
2177.733,36147536.51,107848999.2,-27572.50555,38241.41293,113745553.9,47144.97561,-2323737.804,4.356e+12,0.9972483324,3.1026
2239.929,34426801.45,110209644.8,-27757.26983,37670.68379,115461554,46792.58964,-2323737.804,4.356e+12,0.9972483324,3.1098
2301.707,32706773.44,112519691.3,-27924.23342,37116.89498,117176849.1,46448.10766,-2323737.804,4.356e+12,0.9972483324,3.0889
2363.528,30975704.75,114797499.3,-28075.89403,36575.68353,118903154.4,46108.96281,-2323737.804,4.356e+12,0.9972483324,3.09105
2425.284,29237544.14,117039903.1,-28213.0249,36047.83958,120636532.2,45775.77429,-2323737.804,4.356e+12,0.9972483324,3.0878
2486.625,27503092.97,119235353,-28335.9693,35536.02861,122366210.7,45450.37388,-2323737.804,4.356e+12,0.9972483324,3.06705
2549.685,25712580.69,121460000.2,-28449.51153,35022.63477,124151796.1,45121.6096,-2323737.804,4.356e+12,0.9972483324,3.153
2611.487,23951211.44,123609239.8,-28549.0101,34531.80506,125908318.6,44805.03921,-2323737.804,4.356e+12,0.9972483324,3.0901
2673.218,22186065.86,125726098,-28637.54998,34053.4726,127668607.1,44494.36217,-2323737.804,4.356e+12,0.9972483324,3.08655
2735.034,20413329.19,127816644.6,-28716.09026,33586.17739,129436465.7,44188.74462,-2323737.804,4.356e+12,0.9972483324,3.0908
2796.608,18642998.61,129870642.2,-28784.93972,33132.08378,131201924.9,43889.72238,-2323737.804,4.356e+12,0.9972483324,3.0787
2860.19,16810777.8,131962647.3,-28846.88321,32674.80736,133029104.1,43586.53126,-2323737.804,4.356e+12,0.9972483324,3.1791
2921.839,15030759.47,133963633.8,-28898.67697,32242.43077,134804224.4,43297.89686,-2323737.804,4.356e+12,0.9972483324,3.08245
2984.684,13213168.24,135976343.9,-28943.68008,31812.52188,136616814.2,43008.98935,-2323737.804,4.356e+12,0.9972483324,3.14225
3047.969,11380229.89,137976185.5,-28981.59713,31390.38314,138444708.8,42723.40255,-2323737.804,4.356e+12,0.9972483324,3.16425
3117.967,9350341.734,140157462.4,-29015.51231,30935.70603,140469011.4,42413.65184,-2323737.804,4.356e+12,0.9972483324,3.4999
3190.184,7253911.917,142375001.3,-29042.3393,30479.67858,142559672.5,42100.69214,-2323737.804,4.356e+12,0.9972483324,3.61085
