t,type,r,v,details
2978.842377,apocenter,7204881.508,7383.882711,{"ecc": 0.014423317204394825, "energy": -28058754.285714075}
5957.36552,pericenter,7000000.003,7599.999997,{"ecc": 0.014423317204400155, "energy": -28058754.285714116}
8938.985788,apocenter,7204880.921,7383.883321,{"ecc": 0.01442331720257728, "energy": -28058754.2857164}
11917.6499,pericenter,7000000.661,7599.999293,{"ecc": 0.014423317236276989, "energy": -28058754.28570385}
14896.33215,apocenter,7204880.847,7383.883398,{"ecc": 0.014423317180313977, "energy": -28058754.2857771}
17876.32405,pericenter,7000001.399,7599.998503,{"ecc": 0.014423317216090803, "energy": -28058754.28576583}
20854.19005,apocenter,7204880.546,7383.883711,{"ecc": 0.014423317167020944, "energy": -28058754.28582785}
23835.11095,pericenter,7000002.497,7599.997328,{"ecc": 0.014423317220737308, "energy": -28058754.28581083}
26812.25835,apocenter,7204880.073,7383.884203,{"ecc": 0.014423317175575323, "energy": -28058754.28587723}
29791.7002,pericenter,7000002.088,7599.997765,{"ecc": 0.014423317220193521, "energy": -28058754.285863638}
32767.45445,apocenter,7204880.963,7383.883277,{"ecc": 0.01442331716922085, "energy": -28058754.28593081}
35745.9348,pericenter,7000000.547,7599.999414,{"ecc": 0.014423317212119868, "energy": -28058754.285916883}
38727.4804,apocenter,7204879.5,7383.884798,{"ecc": 0.014423317171535777, "energy": -28058754.28596927}
41705.82615,pericenter,7000001.973,7599.997889,{"ecc": 0.014423317209782627, "energy": -28058754.28595651}
44683.32295,apocenter,7204880.277,7383.883991,{"ecc": 0.014423317169683258, "energy": -28058754.286009666}
47665.29695,pericenter,7000003.87,7599.995858,{"ecc": 0.01442331722703516, "energy": -28058754.285992384}
50643.20375,apocenter,7204878.433,7383.885908,{"ecc": 0.014423317175376704, "energy": -28058754.286061402}
53618.39195,pericenter,7000000.972,7599.998959,{"ecc": 0.014423317221616272, "energy": -28058754.286046997}
56596.23125,apocenter,7204880.895,7383.883348,{"ecc": 0.014423317177826744, "energy": -28058754.286103554}
59578.79535,pericenter,7000003.15,7599.996629,{"ecc": 0.014423317233890787, "energy": -28058754.286084786}
62559.35635,apocenter,7204876.707,7383.887704,{"ecc": 0.014423317194182994, "energy": -28058754.2861359}
65538.55605,pericenter,7000005.798,7599.993795,{"ecc": 0.01442331724026791, "energy": -28058754.286132175}
68512.2144,apocenter,7204880.112,7383.884162,{"ecc": 0.014423317202150066, "energy": -28058754.286184784}
71492.0039,pericenter,7000002.286,7599.997553,{"ecc": 0.01442331724267154, "energy": -28058754.286170974}
74468.44535,apocenter,7204880.576,7383.88368,{"ecc": 0.014423317196373244, "energy": -28058754.28623089}
77449.95165,pericenter,7000002.91,7599.996885,{"ecc": 0.014423317235770507, "energy": -28058754.286217615}
80429.49105,apocenter,7204877.959,7383.886401,{"ecc": 0.014423317189251161, "energy": -28058754.286277387}
83406.1232,pericenter,7000002.16,7599.997688,{"ecc": 0.014423317226695875, "energy": -28058754.286264587}
86385.85185,apocenter,7204878.622,7383.885712,{"ecc": 0.014423317184595441, "energy": -28058754.286318757}
89361.75295,pericenter,7000001.215,7599.998699,{"ecc": 0.014423317224852907, "energy": -28058754.286308136}
92342.02015,apocenter,7204879.352,7383.884953,{"ecc": 0.01442331718471157, "energy": -28058754.286359638}
95322.09695,pericenter,7000003.522,7599.99623,{"ecc": 0.014423317225808141, "energy": -28058754.286346514}
98300.3326,apocenter,7204878.47,7383.88587,{"ecc": 0.014423317187050368, "energy": -28058754.286397}
101278.4734,pericenter,7000002.857,7599.996942,{"ecc": 0.01442331722888224, "energy": -28058754.28638522}
104257.4758,apocenter,7204878.473,7383.885867,{"ecc": 0.014423317190773501, "energy": -28058754.286433708}
107231.4537,pericenter,7000000.464,7599.999504,{"ecc": 0.014423317230782053, "energy": -28058754.286420178}
110211.2524,apocenter,7204880.609,7383.883646,{"ecc": 0.014423317190885632, "energy": -28058754.28647137}
113193.2753,pericenter,7000003.288,7599.996481,{"ecc": 0.014423317230119692, "energy": -28058754.286458004}
116171.6402,apocenter,7204878.578,7383.885758,{"ecc": 0.014423317177774564, "energy": -28058754.286525417}
119148.1871,pericenter,7000001.618,7599.998268,{"ecc": 0.014423317236531565, "energy": -28058754.28650638}
122128.4797,apocenter,7204878.82,7383.885505,{"ecc": 0.01442331719410195, "energy": -28058754.28656125}
125105.8687,pericenter,7000001.964,7599.997898,{"ecc": 0.014423317247553415, "energy": -28058754.286544263}
128087.5988,apocenter,7204877.082,7383.887313,{"ecc": 0.014423317181014863, "energy": -28058754.286634706}
131067.0008,pericenter,7000005.602,7599.994004,{"ecc": 0.014423317233270396, "energy": -28058754.286624666}
134040.9253,apocenter,7204880.058,7383.884219,{"ecc": 0.014423317148059335, "energy": -28058754.286737572}
137021.0593,pericenter,7000002.621,7599.997195,{"ecc": 0.014423317229781855, "energy": -28058754.286715787}
139998.8082,apocenter,7204879.61,7383.884684,{"ecc": 0.014423317170907616, "energy": -28058754.286793295}
142975.6302,pericenter,7000000.99,7599.99894,{"ecc": 0.014423317214469215, "energy": -28058754.286779676}
145954.2424,apocenter,7204880.559,7383.883698,{"ecc": 0.01442331717121537, "energy": -28058754.286835037}
148936.7251,pericenter,7000003.807,7599.995925,{"ecc": 0.014423317213816293, "energy": -28058754.286821127}
151911.0995,apocenter,7204880.687,7383.883564,{"ecc": 0.014423317168464792, "energy": -28058754.286881585}
154891.6558,pericenter,7000002.001,7599.997858,{"ecc": 0.0144233172131516, "energy": -28058754.286868162}
157868.5901,apocenter,7204880.534,7383.883724,{"ecc": 0.01442331713498102, "energy": -28058754.286974665}
160849.5689,pericenter,7000002.561,7599.997259,{"ecc": 0.01442331718301715, "energy": -28058754.286960408}
163825.5079,apocenter,7204880.637,7383.883616,{"ecc": 0.014423317136832873, "energy": -28058754.287020165}
166804.843,pericenter,7000001.315,7599.998593,{"ecc": 0.014423317180182419, "energy": -28058754.287005704}
169786.3324,apocenter,7204878.27,7383.886078,{"ecc": 0.014423317136295192, "energy": -28058754.287063945}
172762.8899,pericenter,7000001.862,7599.998007,{"ecc": 0.01442331717778467, "energy": -28058754.287051316}
175744.0789,apocenter,7204877.742,7383.886627,{"ecc": 0.014423317135616624, "energy": -28058754.28710572}
178718.5493,pericenter,7000001.009,7599.99892,{"ecc": 0.014423317180923604, "energy": -28058754.287090898}
181700.3035,apocenter,7204878.537,7383.8858,{"ecc": 0.01442331712998968, "energy": -28058754.287156787}
184678.1848,pericenter,7000002.583,7599.997235,{"ecc": 0.01442331718652812, "energy": -28058754.287139047}
187655.8089,apocenter,7204879.72,7383.88457,{"ecc": 0.014423317144760531, "energy": -28058754.28719305}
190631.6147,pericenter,7000000.5,7599.999465,{"ecc": 0.014423317190128796, "energy": -28058754.287177216}
193611.3447,apocenter,7204880.591,7383.883664,{"ecc": 0.014423317151783136, "energy": -28058754.287226204}
196590.1378,pericenter,7000001.082,7599.998842,{"ecc": 0.014423317193830056, "energy": -28058754.287211716}
199570.0144,apocenter,7204879.775,7383.884512,{"ecc": 0.014423317153573593, "energy": -28058754.287263174}
