t,type,r,v,details
2982.543961,apocenter,7204880.639,7383.883615,{"ecc": 0.014423317204358965, "energy": -28058754.285714928}
5957.408376,pericenter,7000000.004,7599.999996,{"ecc": 0.01442331720446599, "energy": -28058754.285715517}
8935.969265,apocenter,7204881.508,7383.88271,{"ecc": 0.014423317204448338, "energy": -28058754.28571534}
11914.47953,pericenter,7000000.002,7599.999998,{"ecc": 0.01442331720444645, "energy": -28058754.285715554}
14893.5404,apocenter,7204881.487,7383.882733,{"ecc": 0.01442331720265877, "energy": -28058754.28571768}
17872.47142,pericenter,7000000.062,7599.999933,{"ecc": 0.01442331720271206, "energy": -28058754.285717588}
20850.90394,apocenter,7204881.468,7383.882752,{"ecc": 0.014423317202646668, "energy": -28058754.285717864}
23829.51796,pericenter,7000000.051,7599.999946,{"ecc": 0.014423317202706953, "energy": -28058754.285717603}
26808.39915,apocenter,7204881.427,7383.882795,{"ecc": 0.014423317202635677, "energy": -28058754.285717722}
