t,type,r,v,details
2914.8778,apocenter,7000826.621,7545.109008,{"ecc": 5.904088221442283e-05, "energy": -28467696.28571378}
5829.506368,pericenter,7000000,7546,{"ecc": 5.904088221264647e-05, "energy": -28467696.28571403}
8744.012392,apocenter,7000826.621,7545.109008,{"ecc": 5.9040882215088963e-05, "energy": -28467696.285713404}
11658.70768,pericenter,7000000,7546,{"ecc": 5.9040882215199986e-05, "energy": -28467696.285713915}
14573.298,apocenter,7000826.621,7545.109008,{"ecc": 5.9040882213201584e-05, "energy": -28467696.285713907}
17487.97798,pericenter,7000000,7546,{"ecc": 5.904088221941883e-05, "energy": -28467696.285713855}
20402.60498,apocenter,7000826.621,7545.109008,{"ecc": 5.904088223096515e-05, "energy": -28467696.285714023}
23317.17348,pericenter,7000000,7546,{"ecc": 5.904088223629422e-05, "energy": -28467696.285714246}
26231.85079,apocenter,7000826.621,7545.109008,{"ecc": 5.9040882225303015e-05, "energy": -28467696.285714265}
29146.40242,pericenter,7000000,7546,{"ecc": 5.904088221941883e-05, "energy": -28467696.28571467}
32061.07654,apocenter,7000826.621,7545.109008,{"ecc": 5.904088221797554e-05, "energy": -28467696.285714515}
