t,type,r,v,details
169053.5159,pericenter,7000000.009,7545.99999,{"ecc": 5.9040525861825266e-05, "energy": -28467696.28666665}
171969.0098,apocenter,7000826.609,7545.109021,{"ecc": 5.904050878383126e-05, "energy": -28467696.2866736}
174880.9323,pericenter,7000000.005,7545.999994,{"ecc": 5.904052672536649e-05, "energy": -28467696.286680285}
177796.2773,apocenter,7000826.614,7545.109015,{"ecc": 5.904051025299491e-05, "energy": -28467696.28668678}
180712.431,pericenter,7000000.01,7545.999989,{"ecc": 5.904052961471727e-05, "energy": -28467696.286694407}
183627.4484,apocenter,7000826.609,7545.10902,{"ecc": 5.904051293628966e-05, "energy": -28467696.286701027}
186539.3252,pericenter,7000000.005,7545.999994,{"ecc": 5.904053445565064e-05, "energy": -28467696.286709953}
189453.2384,apocenter,7000826.617,7545.109012,{"ecc": 5.904051591059948e-05, "energy": -28467696.28671714}
192369.1233,pericenter,7000000.006,7545.999993,{"ecc": 5.904053692180294e-05, "energy": -28467696.28672565}
195283.6478,apocenter,7000826.615,7545.109014,{"ecc": 5.904051644106299e-05, "energy": -28467696.2867336}
198199.5936,pericenter,7000000.009,7545.99999,{"ecc": 5.904053538891539e-05, "energy": -28467696.28674134}
201114.2312,apocenter,7000826.612,7545.109018,{"ecc": 5.9040517932877736e-05, "energy": -28467696.28674814}
204027.5855,pericenter,7000000.006,7545.999993,{"ecc": 5.9040535447094e-05, "energy": -28467696.286754683}
206943.0124,apocenter,7000826.613,7545.109016,{"ecc": 5.904051833122774e-05, "energy": -28467696.286761336}
209857.8485,pericenter,7000000.008,7545.999991,{"ecc": 5.90405364784895e-05, "energy": -28467696.286768362}
212771.2002,apocenter,7000826.615,7545.109014,{"ecc": 5.904052044953449e-05, "energy": -28467696.286774542}
215686.3339,pericenter,7000000.006,7545.999993,{"ecc": 5.9040536916364596e-05, "energy": -28467696.286780816}
218600.2822,apocenter,7000826.615,7545.109014,{"ecc": 5.904052042178465e-05, "energy": -28467696.286787204}
221516.8796,pericenter,7000000.009,7545.99999,{"ecc": 5.9040538711817767e-05, "energy": -28467696.28679412}
224428.6183,apocenter,7000826.617,7545.109012,{"ecc": 5.9040519989472525e-05, "energy": -28467696.28680161}
227346.0985,pericenter,7000000.009,7545.99999,{"ecc": 5.904053744485383e-05, "energy": -28467696.286808524}
230262.2862,apocenter,7000826.606,7545.109023,{"ecc": 5.904051924831558e-05, "energy": -28467696.286815833}
233174.7295,pericenter,7000000.008,7545.999991,{"ecc": 5.904053714178542e-05, "energy": -28467696.286822993}
236087.3338,apocenter,7000826.616,7545.109013,{"ecc": 5.904051980110321e-05, "energy": -28467696.28682972}
239001.3736,pericenter,7000000.003,7545.999996,{"ecc": 5.9040536501963424e-05, "energy": -28467696.286836162}
241916.7491,apocenter,7000826.616,7545.109013,{"ecc": 5.90405187240772e-05, "energy": -28467696.286843203}
244832.1165,pericenter,7000000.006,7545.999994,{"ecc": 5.9040537238359685e-05, "energy": -28467696.286850512}
247749.8218,apocenter,7000826.607,7545.109023,{"ecc": 5.904051367121549e-05, "energy": -28467696.28686034}
250664.0401,pericenter,7000000.012,7545.999987,{"ecc": 5.904053730287955e-05, "energy": -28467696.286870178}
253576.6249,apocenter,7000826.614,7545.109016,{"ecc": 5.904051623339872e-05, "energy": -28467696.286879215}
256490.5625,pericenter,7000000.005,7545.999994,{"ecc": 5.9040539432598725e-05, "energy": -28467696.286888745}
259407.8801,apocenter,7000826.608,7545.109021,{"ecc": 5.904050654242854e-05, "energy": -28467696.286903575}
262319.773,pericenter,7000000.005,7545.999994,{"ecc": 5.9040531102891115e-05, "energy": -28467696.286913995}
265233.2356,apocenter,7000826.617,7545.109012,{"ecc": 5.904051107058353e-05, "energy": -28467696.28692234}
268150.0214,pericenter,7000000.007,7545.999992,{"ecc": 5.904053449717374e-05, "energy": -28467696.286933318}
271064.2862,apocenter,7000826.614,7545.109015,{"ecc": 5.9040512451697285e-05, "energy": -28467696.286943123}
273980.7935,pericenter,7000000.011,7545.999987,{"ecc": 5.904053652809589e-05, "energy": -28467696.286953766}
