t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,75000000,0,0,58080,75000000,58080,-2323733.333,4.356e+12,0.9972483377,0
978.007,65115733.51,54411977.22,-18646.65917,51314.76258,84857068.15,54597.64425,-2323740.337,4.355999999e+12,0.9972483294,48.90035
1047.418,63789638,57946447.92,-19553.1766,50524.86534,86179514.63,54176.45921,-2323740.337,4.355999999e+12,0.9972483294,3.47055
1120.135,62335202.6,61590017.7,-20438.65546,49685.93538,87629947.86,53725.5136,-2323740.337,4.355999999e+12,0.9972483294,3.63585
1191.613,60845038.17,65111787.64,-21247.03941,48854.71964,89116011.8,53274.95016,-2323740.337,4.355999999e+12,0.9972483294,3.5739
1262.997,59301286.66,68569525.8,-21995.3796,48022.35181,90655515.37,52819.91099,-2323740.337,4.355999999e+12,0.9972483294,3.5692
1332.502,57748755.58,71879185,-22669.868,47213.28341,92203774.36,52373.82023,-2323740.337,4.355999999e+12,0.9972483294,3.47525
1406.605,56043932.05,75346011.04,-23333.03058,46355.58435,93903906.73,51896.72935,-2323740.337,4.355999999e+12,0.9972483294,3.70515
1477.138,54377430.39,78587031.56,-23913.48256,45546.66104,95565822.68,51442.71552,-2323740.337,4.355999999e+12,0.9972483294,3.52665
1546.957,52689103.25,81739368.98,-24442.0952,44755.3368,97249504.07,50994.66825,-2323740.337,4.355999999e+12,0.9972483294,3.49095
1619.689,50892743.5,84964890.68,-24947.06045,43942.91959,99040920.79,50530.54529,-2323740.337,4.355999999e+12,0.9972483294,3.6366
1691.342,49088674.74,88085258.22,-25401.81984,43156.06708,100840025.3,50076.92659,-2323740.337,4.355999999e+12,0.9972483294,3.58265
1760.884,47307942.98,91060269.31,-25805.30516,42406.45091,102615857,49640.91914,-2323740.337,4.355999999e+12,0.9972483294,3.4771
1831.055,45483912.25,94009869.21,-26177.15649,41665.03822,104434868.6,49205.8831,-2323740.337,4.355999999e+12,0.9972483294,3.50855
1902.436,43602873.07,96957522.37,-26521.55275,40927.02681,106310731.7,48768.98896,-2323740.337,4.355999999e+12,0.9972483294,3.56905
1973.222,41714363.04,99829170.74,-26831.72846,40211.82815,108194045.2,48341.83256,-2323740.337,4.355999999e+12,0.9972483294,3.5393
2040.919,39888668.83,102528687.5,-27101.24002,39543.69693,110014715.7,47939.34894,-2323740.337,4.355999999e+12,0.9972483294,3.38485
2104.335,38162610.79,105016923.5,-27331.32099,38932.05216,111736024.1,47567.90717,-2323740.337,4.355999999e+12,0.9972483294,3.1708
2172.659,36287399.14,107654842.5,-27556.65865,38288.55981,113606075.8,47173.96791,-2323740.337,4.355999999e+12,0.9972483294,3.4162
2244.918,34288285.14,110397470.8,-27771.35077,37625.47787,115599688.8,46764.56467,-2323740.337,4.355999999e+12,0.9972483294,3.61295
2314.158,32358890.37,112981147.9,-27955.98488,37006.85415,117523774.5,46379.35257,-2323740.337,4.355999999e+12,0.9972483294,3.462
2385.406,30360908.13,115595637.5,-28126.06648,36387.23224,119516258.9,45990.28469,-2323740.337,4.355999999e+12,0.9972483294,3.5624
2458.614,28296053.62,118236707.2,-28281.40957,35768.21248,121575431.6,45598.28014,-2323740.337,4.355999999e+12,0.9972483294,3.6604
2532.041,26214275.98,120840806.2,-28419.00296,35164.99064,123651480.8,45213.01025,-2323740.337,4.355999999e+12,0.9972483294,3.67135
2598.547,24320507.18,123161740.1,-28529.1021,34633.57633,125540038.6,44870.86222,-2323740.337,4.355999999e+12,0.9972483294,3.3253
2671.345,22239701.45,125662302.1,-28635.01587,34067.81271,127615118.6,44503.70768,-2323740.337,4.355999999e+12,0.9972483294,3.6399
2745.44,20114445.28,128165738.5,-28728.36548,33508.64582,129734526.7,44137.83329,-2323740.337,4.355999999e+12,0.9972483294,3.70475
2813.86,18146247,130441155.2,-28802.63889,33006.85323,131697309.1,43806.89863,-2323740.337,4.355999999e+12,0.9972483294,3.421
2886.676,16046428.36,132825590.2,-28870.09839,32487.73687,133791349.7,43461.88708,-2323740.337,4.355999999e+12,0.9972483294,3.6408
2959.699,13936116.14,135179392.2,-28926.69549,31982.14471,135895855.1,43123.2106,-2323740.337,4.355999999e+12,0.9972483294,3.65115
3032.331,11833376.36,137484495.4,-28972.88978,31493.70526,137992808.8,42793.47863,-2323740.337,4.355999999e+12,0.9972483294,3.6316
3102.883,9787961.968,139690097.8,-29008.88456,31032.61751,140032594.8,42479.86268,-2323740.337,4.355999999e+12,0.9972483294,3.5276
3176.455,7652603.437,141955957.8,-29037.84666,30565.37132,142162077.5,42159.67816,-2323740.337,4.355999999e+12,0.9972483294,3.6786
3243.408,5707749.205,143988496,-29057.18894,30151.82666,144101580.1,41874.2508,-2323740.337,4.355999999e+12,0.9972483294,3.34765
3305.269,3909833.444,145842149.3,-29069.56521,29779.30683,145894548.6,41615.46271,-2323740.337,4.355999999e+12,0.9972483294,3.09305
3367.112,2111828.941,147672505.9,-29077.03641,29415.81427,147687605.6,41361.38507,-2323740.337,4.355999999e+12,0.9972483294,3.09215
3429.466,298645.2925,149495501.6,-29079.95153,29058.08323,149495799.9,41109.80153,-2323740.337,4.355999999e+12,0.9972483294,3.1177
3492.973,-1548111.536,151329556.6,-29078.488,28702.5157,151337475,40858.20446,-2323740.337,4.355999999e+12,0.9972483294,3.17535
3556.447,-3393682.399,153140369.1,-29072.8717,28355.71832,153177967.5,40611.3116,-2323740.337,4.355999999e+12,0.9972483294,3.1737
