t,type,r,v,details
6444.321534,apocenter,29768569.56,13739.08628,{"ecc": 0.030120797661258598, "energy": -100243470.18560238}
12695.93046,pericenter,28107776.97,14580.28262,{"ecc": 0.03134503364131571, "energy": -99832105.60916354}
19458.93604,apocenter,30140268.07,13644.42619,{"ecc": 0.03149974571055259, "energy": -99139364.7300585}
25738.46171,pericenter,28470009.53,14489.33476,{"ecc": 0.031644579140940245, "energy": -98531431.71831968}
32616.50744,apocenter,30534912.29,13553.72635,{"ecc": 0.03181957309113098, "energy": -97888419.3672946}
39024.59303,pericenter,28821359.04,14403.16351,{"ecc": 0.03199060022748469, "energy": -97295474.60730822}
46031.91966,apocenter,30936131.03,13463.07054,{"ecc": 0.032175620543169955, "energy": -96652244.53635854}
52570.84163,pericenter,29178283.19,14316.73517,{"ecc": 0.03226964168811141, "energy": -96077585.85508588}
59708.09186,apocenter,31332381.55,13376.41709,{"ecc": 0.032356251034035007, "energy": -95446649.74910036}
66365.74014,pericenter,29543327.15,14229.40589,{"ecc": 0.032473024490203506, "energy": -94870565.92652774}
73759.92278,apocenter,31783838.4,13286.10597,{"ecc": 0.03163324623326809, "energy": -94024140.88111223}
80386.39418,pericenter,30125572.17,14085.90995,{"ecc": 0.03170179635383153, "energy": -93111889.50350012}
88071.19473,apocenter,32451584.74,13146.88597,{"ecc": 0.03189643955329465, "energy": -92113330.13899386}
94951.54998,pericenter,30720364.14,13951.48667,{"ecc": 0.03208295598415583, "energy": -91272760.07595666}
102833.5691,apocenter,33085403.24,13018.24139,{"ecc": 0.03221580653075752, "energy": -90376154.40962064}
109914.8391,pericenter,31302332.88,13821.60821,{"ecc": 0.03214530966853744, "energy": -89569995.30662006}
117983.0611,apocenter,33702301.96,12897.34719,{"ecc": 0.03238875558348115, "energy": -88737338.63656357}
125313.4989,pericenter,31840070.24,13707.45944,{"ecc": 0.03260568432908804, "energy": -88015297.2285628}
133570.8451,apocenter,34297263.94,12782.07697,{"ecc": 0.03282928730582397, "energy": -87235248.12083852}
141089.7671,pericenter,32375377.1,13597.96206,{"ecc": 0.03325864753827018, "energy": -86501595.50294909}
149601.6381,apocenter,34949222.19,12657.71346,{"ecc": 0.033531713469953164, "energy": -85665918.66877748}
