t,type,r,v,details
3597.25125,apocenter,3845467.291,3320.272676,{"ecc": 0.005946952234865967, "energy": -5578057.922010268}
7195.33285,pericenter,3800000.24,3359.999781,{"ecc": 0.005946952240144309, "energy": -5578057.922010203}
10789.29725,apocenter,3845467.258,3320.272705,{"ecc": 0.005946952235639357, "energy": -5578057.922010719}
14384.71525,pericenter,3800000.138,3359.999871,{"ecc": 0.005946952240168851, "energy": -5578057.922010635}
17981.17625,apocenter,3845467.22,3320.272738,{"ecc": 0.0059469522354211974, "energy": -5578057.92201124}
21575.854,pericenter,3800000.138,3359.999871,{"ecc": 0.005946952240442071, "energy": -5578057.922011171}
25172.1112,apocenter,3845467.231,3320.272728,{"ecc": 0.00594695223672982, "energy": -5578057.922011592}
28769.4091,pericenter,3800000.293,3359.999734,{"ecc": 0.005946952240728177, "energy": -5578057.922011542}
32365.35215,apocenter,3845467.08,3320.272859,{"ecc": 0.0059469522370324684, "energy": -5578057.922011967}
35959.0728,pericenter,3800000.186,3359.999828,{"ecc": 0.005946952240662677, "energy": -5578057.922011908}
39553.8943,apocenter,3845467.255,3320.272707,{"ecc": 0.005946952235590731, "energy": -5578057.922012528}
43150.4961,pericenter,3800000.204,3359.999812,{"ecc": 0.005946952238985463, "energy": -5578057.922012519}
46748.4062,apocenter,3845467.004,3320.272925,{"ecc": 0.005946952235334159, "energy": -5578057.922012947}
50339.9364,pericenter,3800000.12,3359.999886,{"ecc": 0.005946952239354275, "energy": -5578057.922012885}
53936.895,apocenter,3845467.217,3320.27274,{"ecc": 0.005946952234811352, "energy": -5578057.9220134355}
57532.357,pericenter,3800000.179,3359.999834,{"ecc": 0.005946952238415466, "energy": -5578057.922013428}
61126.5695,apocenter,3845467.283,3320.272682,{"ecc": 0.005946952234303087, "energy": -5578057.922013914}
64724.7029,pericenter,3800000.262,3359.999762,{"ecc": 0.005946952238068743, "energy": -5578057.922013851}
68317.7714,apocenter,3845467.281,3320.272684,{"ecc": 0.0059469522343732545, "energy": -5578057.922014275}
71916.604,pericenter,3800000.328,3359.999704,{"ecc": 0.005946952237804065, "energy": -5578057.922014223}
75510.446,apocenter,3845467.208,3320.272747,{"ecc": 0.005946952233568999, "energy": -5578057.9220146965}
79107.416,pericenter,3800000.299,3359.999729,{"ecc": 0.005946952236899114, "energy": -5578057.922014597}
82701.267,apocenter,3845467.226,3320.272732,{"ecc": 0.005946952232007373, "energy": -5578057.922015179}
86297.95115,pericenter,3800000.25,3359.999772,{"ecc": 0.005946952237332665, "energy": -5578057.922015094}
89891.3736,apocenter,3845467.274,3320.27269,{"ecc": 0.005946952233886755, "energy": -5578057.922015508}
93490.38835,pericenter,3800000.364,3359.999672,{"ecc": 0.005946952237366749, "energy": -5578057.922015474}
97086.0296,apocenter,3845467.036,3320.272897,{"ecc": 0.005946952233415031, "energy": -5578057.922015957}
100681.1775,pericenter,3800000.331,3359.999701,{"ecc": 0.005946952236855062, "energy": -5578057.922015919}
104274.9597,apocenter,3845467.21,3320.272746,{"ecc": 0.0059469522328859095, "energy": -5578057.9220164}
107869.6717,pericenter,3800000.147,3359.999863,{"ecc": 0.005946952237526861, "energy": -5578057.922016323}
111467.8034,apocenter,3845467.082,3320.272857,{"ecc": 0.005946952233430363, "energy": -5578057.9220167985}
115061.8297,pericenter,3800000.204,3359.999813,{"ecc": 0.0059469522370715604, "energy": -5578057.922016751}
118656.4906,apocenter,3845467.249,3320.272712,{"ecc": 0.005946952233285813, "energy": -5578057.922017198}
122252.9672,pericenter,3800000.204,3359.999813,{"ecc": 0.005946952236799336, "energy": -5578057.92201717}
125846.8928,apocenter,3845467.279,3320.272686,{"ecc": 0.005946952232217116, "energy": -5578057.922017691}
129444.9793,pericenter,3800000.267,3359.999757,{"ecc": 0.005946952235615953, "energy": -5578057.922017615}
133038.7842,apocenter,3845467.248,3320.272713,{"ecc": 0.005946952232158498, "energy": -5578057.9220180055}
136635.0427,pericenter,3800000.192,3359.999823,{"ecc": 0.005946952235970562, "energy": -5578057.922017947}
140232.4568,apocenter,3845467.072,3320.272866,{"ecc": 0.005946952231570974, "energy": -5578057.922018482}
143828.0851,pericenter,3800000.34,3359.999693,{"ecc": 0.0059469522350165515, "energy": -5578057.92201844}
147422.0812,apocenter,3845467.19,3320.272763,{"ecc": 0.005946952230662481, "energy": -5578057.922018941}
151016.3538,pericenter,3800000.141,3359.999868,{"ecc": 0.0059469522346759385, "energy": -5578057.922018923}
154614.7411,apocenter,3845467.07,3320.272867,{"ecc": 0.005946952230941592, "energy": -5578057.922019338}
158207.2212,pericenter,3800000.13,3359.999878,{"ecc": 0.005946952234530497, "energy": -5578057.922019275}
