t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,7000000,0,0,7546,7000000,7546,-28467696.29,5.2822e+10,5.904088222e-05,0
23.642856,6997726.702,178389.6778,-192.2927158,7543.549385,7000000.134,7545.999855,-28467696.29,5.2822e+10,5.904088222e-05,1.1821428
28.2851904,6996746.398,213406.9767,-230.0391329,7542.492617,7000000.192,7545.999793,-28467696.29,5.2822e+10,5.904088222e-05,0.2215488
32.7347904,6995642.334,246965.4683,-266.2130476,7541.302436,7000000.257,7545.999723,-28467696.29,5.2822e+10,5.904088222e-05,0.2187168
37.1477328,6994388.403,280241.8818,-302.082899,7539.950698,7000000.331,7545.999643,-28467696.29,5.2822e+10,5.904088222e-05,0.2213856
41.531616,6992986.012,313292.8927,-337.7097797,7538.438921,7000000.414,7545.999554,-28467696.29,5.2822e+10,5.904088222e-05,0.220872
45.914232,6991427.926,346327.3566,-373.3188224,7536.759305,7000000.506,7545.999454,-28467696.29,5.2822e+10,5.904088222e-05,0.226444
50.422288,6989662.439,380299.2667,-409.9383706,7534.85611,7000000.61,7545.999342,-28467696.29,5.2822e+10,5.904088222e-05,0.24434
