t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,75000000,0,0,58080,75000000,58080,-2323733.333,4.356e+12,0.9972483377,0
910.891,66336174.19,50942705.21,-17711.79591,52063.79843,83639985.78,54994.06169,-2323738.332,4.356e+12,0.9972483318,45.54455
982.367,65034305.93,54635602.42,-18705.39406,51265.55099,84938271.7,54571.49884,-2323738.332,4.356e+12,0.9972483318,3.5738
1056.812,63605400.12,58420572.28,-19671.22461,50417.03683,86363245.6,54118.70915,-2323738.332,4.356e+12,0.9972483318,3.72225
1128.217,62169635.2,61991200.76,-20533.09966,49592.19217,87795059.73,53674.88897,-2323738.332,4.356e+12,0.9972483318,3.57025
1200.598,60653695.33,65550276.93,-21344.42257,48749.99244,89306828.2,53217.91182,-2323738.332,4.356e+12,0.9972483318,3.61905
1285.432,58805303.68,69643974.08,-22218.80923,47760.89315,91150133.66,52676.16537,-2323738.332,4.356e+12,0.9972483318,4.2417
1379.806,56666123.19,74099584.23,-23099.67233,46664.98669,93283427.79,52069.33689,-2323738.332,4.356e+12,0.9972483318,4.7187
1465.689,54650696.28,78064819.94,-23822.50898,45677.37092,95293308.88,51516.34836,-2323738.332,4.356e+12,0.9972483318,4.29415
1539.119,52880456.8,81388230.78,-24384.9452,44843.64537,97058677.21,51044.86343,-2323738.332,4.356e+12,0.9972483318,3.6715
1606.15,51229890.18,84368931.18,-24856.45841,44093.14879,98704702,50616.68989,-2323738.332,4.356e+12,0.9972483318,3.35155
1677.828,49431398.05,87501052.46,-25319.16284,43303.37979,100498245.2,50162.16411,-2323738.332,4.356e+12,0.9972483318,3.5839
1745.029,47716384.27,90386571.4,-25716.46516,42576.0861,102208539.8,49739.92047,-2323738.332,4.356e+12,0.9972483318,3.36005
1807.583,46096934.58,93029020.7,-26056.56654,41911.31468,103823533.3,49350.81518,-2323738.332,4.356e+12,0.9972483318,3.1277
1871.097,44431742.48,95669873.82,-26374.39856,41248.99262,105484143.3,48960.06833,-2323738.332,4.356e+12,0.9972483318,3.1757
1933.678,42772074.74,98231192.96,-26662.16328,40609.29717,107139244.2,48579.68678,-2323738.332,4.356e+12,0.9972483318,3.12905
1995.808,41107288.56,100734855,-26924.49783,39987.18162,108799449.4,48206.87998,-2323738.332,4.356e+12,0.9972483318,3.1065
2058.401,39414309.91,103218503.1,-27166.763,39373.7044,110487769.5,47836.40465,-2323738.332,4.356e+12,0.9972483318,3.12965
2121.007,37706465.35,105664676.2,-27388.40124,38773.54818,112190914.7,47471.1761,-2323738.332,4.356e+12,0.9972483318,3.1303
2183.595,35985853.15,108073011,-27590.66531,38187.05421,113906792.3,47111.52642,-2323738.332,4.356e+12,0.9972483318,3.1294
2245.711,34266261.67,110427305.1,-27773.57894,37618.30034,115621652,46760.11343,-2323738.332,4.356e+12,0.9972483318,3.1058
2308.018,32530492.46,112753759.7,-27940.40477,37061.05327,117352644.9,46413.22967,-2323738.332,4.356e+12,0.9972483318,3.11535
2369.209,30816168.02,115005146.2,-28089.09358,36526.59487,119062252.1,46078.07842,-2323738.332,4.356e+12,0.9972483318,3.05955
2430.287,29096368.02,117220144.7,-28223.53506,36005.63253,120777319.7,45749.02737,-2323738.332,4.356e+12,0.9972483318,3.0539
2491.295,27370743.28,119401216.3,-28344.81332,35497.56768,122498196.1,45425.82695,-2323738.332,4.356e+12,0.9972483318,3.0504
2552.24,25639886.61,121549456.8,-28453.85031,35002.10294,124224290,45108.41172,-2323738.332,4.356e+12,0.9972483318,3.04725
2615.072,23848853.46,123732985.9,-28554.44112,34503.70229,126010394.8,44786.84606,-2323738.332,4.356e+12,0.9972483318,3.1416
2675.93,22108395.83,125818422.8,-28641.20296,34032.72776,127746063.3,44480.83931,-2323738.332,4.356e+12,0.9972483318,3.0429
