t,type,r,v,details
4161.75225,apocenter,2158776.104,1465.238108,{"ecc": 0.05414755965084184, "energy": -1196366.8061439467}
8324.0983,pericenter,1937001.155,1632.999076,{"ecc": 0.054147559657787614, "energy": -1196366.8061431316}
12480.2578,apocenter,2158776.086,1465.238121,{"ecc": 0.05414755965133622, "energy": -1196366.8061440515}
16643.62025,pericenter,1937001.661,1632.998672,{"ecc": 0.05414755965894691, "energy": -1196366.8061431537}
20798.7432,apocenter,2158776.07,1465.238133,{"ecc": 0.054147559650822075, "energy": -1196366.8061443197}
24957.61015,pericenter,1937000.214,1632.999829,{"ecc": 0.05414755965822704, "energy": -1196366.8061434508}
29119.9879,apocenter,2158775.383,1465.238626,{"ecc": 0.054147559652422905, "energy": -1196366.8061442743}
33278.3536,pericenter,1937000.822,1632.999343,{"ecc": 0.054147559659375455, "energy": -1196366.8061434731}
37439.3099,apocenter,2158775.057,1465.23886,{"ecc": 0.054147559652818256, "energy": -1196366.8061444226}
41599.11565,pericenter,1937001.833,1632.998534,{"ecc": 0.054147559661484546, "energy": -1196366.806143415}
45760.1103,apocenter,2158773.98,1465.239633,{"ecc": 0.05414755780362657, "energy": -1196366.806473913}
49914.4812,pericenter,1937000.622,1632.999503,{"ecc": 0.054147557820749315, "energy": -1196366.8064719639}
54074.0674,apocenter,2158775.69,1465.238405,{"ecc": 0.05414755779864444, "energy": -1196366.8064752312}
58232.3414,pericenter,1937000.477,1632.999619,{"ecc": 0.05414755781438452, "energy": -1196366.8064734465}
62397.22825,apocenter,2158773.796,1465.239765,{"ecc": 0.05414755779735525, "energy": -1196366.8064759572}
66552.0365,pericenter,1937000.877,1632.999299,{"ecc": 0.05414755782158731, "energy": -1196366.8064733178}
70713.0106,apocenter,2158774.988,1465.238909,{"ecc": 0.054147557801456414, "energy": -1196366.806476328}
74874.1795,pericenter,1937002.698,1632.997842,{"ecc": 0.05414755782460712, "energy": -1196366.806473698}
79030.71875,apocenter,2158775.235,1465.238732,{"ecc": 0.05414755780021929, "energy": -1196366.8064773222}
83188.62245,pericenter,1937000.814,1632.999348,{"ecc": 0.05414755781953906, "energy": -1196366.806475162}
87352.9185,apocenter,2158773.5,1465.239977,{"ecc": 0.05414755779252045, "energy": -1196366.8064791663}
91506.0216,pericenter,1937000.515,1632.999588,{"ecc": 0.05414755782180314, "energy": -1196366.8064758854}
95667.3235,apocenter,2158775.29,1465.238692,{"ecc": 0.0541475577977677, "energy": -1196366.806479425}
99824.4208,pericenter,1937000.52,1632.999584,{"ecc": 0.05414755781966485, "energy": -1196366.8064769765}
103991.0871,apocenter,2158772.654,1465.240584,{"ecc": 0.05414755779898861, "energy": -1196366.8064800254}
108146.277,pericenter,1937001.885,1632.998492,{"ecc": 0.05414755782412639, "energy": -1196366.8064772405}
112304.8075,apocenter,2158775.034,1465.238876,{"ecc": 0.05414755780156788, "energy": -1196366.8064805495}
116466.7968,pericenter,1937003.148,1632.997482,{"ecc": 0.054147557821877856, "energy": -1196366.806478282}
120620.8847,apocenter,2158775.753,1465.23836,{"ecc": 0.054147557804808844, "energy": -1196366.8064808035}
124781.9474,pericenter,1937001.362,1632.998911,{"ecc": 0.05414755782274461, "energy": -1196366.8064787595}
128940.0207,apocenter,2158775.552,1465.238505,{"ecc": 0.05414755780742908, "energy": -1196366.8064810042}
133103.222,pericenter,1937002.925,1632.997661,{"ecc": 0.05414755782451797, "energy": -1196366.8064790647}
137257.3063,apocenter,2158775.835,1465.238301,{"ecc": 0.05414755780637359, "energy": -1196366.8064817097}
141421.796,pericenter,1937003.049,1632.997562,{"ecc": 0.054147557827922466, "energy": -1196366.8064793006}
145581.9469,apocenter,2158773.302,1465.240119,{"ecc": 0.05414755779468494, "energy": -1196366.8064842324}
149737.0351,pericenter,1937001.335,1632.998932,{"ecc": 0.05414755781248315, "energy": -1196366.806482227}
153899.1254,apocenter,2158773.963,1465.239645,{"ecc": 0.054147557797076695, "energy": -1196366.806484482}
158055.8216,pericenter,1937001.516,1632.998788,{"ecc": 0.054147557811381586, "energy": -1196366.8064828578}
162213.1543,apocenter,2158775.663,1465.238425,{"ecc": 0.05414755779325142, "energy": -1196366.8064855088}
