t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,75000000,0,0,58080,75000000,58080,-2323733.333,4.356e+12,0.9972483377,0
980.836,65062928.14,54557101.53,-18684.79712,51282.83835,84909728.21,54580.68479,-2323740.432,4.355999999e+12,0.9972483293,49.0418
1050.964,63720223.15,58125536.97,-19597.86556,50484.1851,86248738.47,54154.6792,-2323740.432,4.355999999e+12,0.9972483293,3.5064
1135.41,62021640.31,62347617.04,-20616.49682,49508.69625,87942647.32,53629.75802,-2323740.432,4.355999999e+12,0.9972483293,4.2223
1206.727,60522673.21,65848846.56,-21410.318,48678.53811,89437489.71,53178.96003,-2323740.432,4.355999999e+12,0.9972483293,3.56585
1276.323,59007285.36,69208436.64,-22128.75871,47867.02502,90948707.67,52734.56216,-2323740.432,4.355999999e+12,0.9972483293,3.4798
1353.137,57278991.39,72850959.53,-22860.20573,46973.80334,92672245.9,52241.04905,-2323740.432,4.355999999e+12,0.9972483293,3.8407
1423.027,55659608.27,76105709.32,-23472.49039,46166.50294,94287172.96,51790.96252,-2323740.432,4.355999999e+12,0.9972483293,3.4945
1495.733,53931404.75,79432001.9,-24058.62348,45334.90987,96010620.99,51323.20544,-2323740.432,4.355999999e+12,0.9972483293,3.6353
1567.298,52190437.65,82647411.56,-24587.89019,44526.82568,97746797.49,50864.55101,-2323740.432,4.355999999e+12,0.9972483293,3.57825
1641.518,50346607.35,85921485.78,-25089.96063,43701.71933,99585554.13,50391.92789,-2323740.432,4.355999999e+12,0.9972483293,3.711
1705.363,48731923.29,88689281.17,-25486.09007,43003.7817,101195795.1,49988.65899,-2323740.432,4.355999999e+12,0.9972483293,3.19225
1767.3,47142262.31,91332129.51,-25840.73992,42338.02319,102781081.8,49600.92788,-2323740.432,4.355999999e+12,0.9972483293,3.09685
1836.361,45344945.21,94230796.8,-26203.90157,41609.60977,104573453.2,49173.20493,-2323740.432,4.355999999e+12,0.9972483293,3.45305
1905.582,43519413.55,97086228.22,-26535.98386,40894.88505,106393961.6,48749.87244,-2323740.432,4.355999999e+12,0.9972483293,3.46105
1972.655,41729575.95,99806369.02,-26829.36194,40217.48994,108178874.1,48345.22892,-2323740.432,4.355999999e+12,0.9972483293,3.35365
2043.928,39807104.04,102647630.3,-27112.63402,39514.36315,110096056,47921.60075,-2323740.432,4.355999999e+12,0.9972483293,3.56365
2116.971,37816977.25,105508108.8,-27374.70978,38811.83134,112080706.6,47494.55745,-2323740.432,4.355999999e+12,0.9972483293,3.65215
2189.646,35818845.65,108303911.2,-27609.24486,38131.06679,114073339.9,47077.05021,-2323740.432,4.355999999e+12,0.9972483293,3.63375
