t,type,r,v,details
2979.229483,apocenter,7204881.488,7383.882732,{"ecc": 0.014423317204383834, "energy": -28058754.285714667}
5957.523475,pericenter,7000000.008,7599.999991,{"ecc": 0.01442331720438661, "energy": -28058754.285714682}
8936.69161,apocenter,7204881.46,7383.882761,{"ecc": 0.01442331720438872, "energy": -28058754.28571465}
11915.1026,pericenter,7000000.038,7599.999959,{"ecc": 0.01442331720444534, "energy": -28058754.285714608}
14893.4934,apocenter,7204881.49,7383.882729,{"ecc": 0.01442331720442036, "energy": -28058754.285714515}
17871.82632,pericenter,7000000.009,7599.999991,{"ecc": 0.014423317204429797, "energy": -28058754.28571434}
20850.60958,apocenter,7204881.492,7383.882727,{"ecc": 0.01442331720441603, "energy": -28058754.285714455}
23829.10016,pericenter,7000000.015,7599.999983,{"ecc": 0.01442331720441492, "energy": -28058754.285714682}
26807.49051,apocenter,7204881.506,7383.882713,{"ecc": 0.014423317204410036, "energy": -28058754.28571455}
29786.12034,pericenter,7000000.009,7599.999991,{"ecc": 0.014423317204415143, "energy": -28058754.285714664}
32764.61751,apocenter,7204881.507,7383.882712,{"ecc": 0.014423317204412256, "energy": -28058754.28571463}
35743.5659,pericenter,7000000.028,7599.99997,{"ecc": 0.01442331720441914, "energy": -28058754.285714556}
