t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,7000000,0,0,-7546,7000000,7546,-28467696.29,5.2822e+10,5.904088222e-05,0
28.913,6996600.375,-218142.1767,-235.1433767,-7542.335204,7000000.201,7545.999784,-28467696.29,5.2822e+10,5.904088222e-05,1.44565
105.076,6955143.795,-791209.122,-852.8727565,-7497.645029,7000002.648,7545.997145,-28467696.29,5.2822e+10,5.904088219e-05,3.80815
179.222,6869769.986,-1344011.897,-1448.757698,-7405.612199,7000007.689,7545.991712,-28467696.29,5.2822e+10,5.904088214e-05,3.7073
253.355,6740559.787,-1888138.82,-2035.289028,-7266.324063,7000015.318,7545.983489,-28467696.29,5.2822e+10,5.904088207e-05,3.70665
329.99,6561775.787,-2437921.398,-2627.914399,-7073.596045,7000025.873,7545.97211,-28467696.29,5.2822e+10,5.904088195e-05,3.83175
406.055,6340061.679,-2967181.052,-3198.414533,-6834.59045,7000038.963,7545.958,-28467696.29,5.2822e+10,5.904088181e-05,3.80325
479.928,6083943.485,-3462136.459,-3731.93393,-6558.498707,7000054.085,7545.9417,-28467696.29,5.2822e+10,5.904088166e-05,3.69365
555.548,5781845.328,-3946045.045,-4253.54172,-6232.842756,7000071.921,7545.922474,-28467696.29,5.2822e+10,5.904088148e-05,3.781
630.314,5445401.67,-4398736.824,-4741.49618,-5870.164974,7000091.785,7545.901062,-28467696.29,5.2822e+10,5.904088128e-05,3.7383
706.459,5066432.756,-4830409.649,-5206.789268,-5461.648504,7000114.16,7545.876944,-28467696.29,5.2822e+10,5.904088103e-05,3.80725
782.011,4656691.703,-5226581.991,-5633.811406,-5019.963582,7000138.351,7545.850868,-28467696.29,5.2822e+10,5.904088078e-05,3.7776
860.285,4199668.103,-5600455.565,-6036.792089,-4527.313514,7000165.334,7545.821783,-28467696.29,5.2822e+10,5.904088046e-05,3.9137
934.815,3736684.374,-5919449.915,-6380.61466,-4028.242578,7000192.669,7545.792318,-28467696.29,5.2822e+10,5.904088019e-05,3.7265
1020.786,3172888.018,-6239867.391,-6725.962818,-3420.506452,7000225.956,7545.756438,-28467696.29,5.2822e+10,5.904087961e-05,4.29855
1097.759,2644849.362,-6481386.562,-6986.265596,-2851.320063,7000257.132,7545.722833,-28467696.29,5.2822e+10,5.904087926e-05,3.84865
1176.209,2087979.16,-6681646.747,-7202.091575,-2251.060903,7000290.01,7545.687394,-28467696.29,5.2822e+10,5.904087886e-05,3.9225
1250.939,1543578.411,-6828021.377,-7359.833781,-1664.248215,7000322.152,7545.652749,-28467696.29,5.2822e+10,5.904087854e-05,3.7365
1327.361,976526.9984,-6931909.837,-7471.778042,-1053.025976,7000355.631,7545.616662,-28467696.29,5.2822e+10,5.904087817e-05,3.8211
1401.557,419620.4823,-6987800.653,-7531.986346,-452.7445671,7000388.511,7545.581221,-28467696.29,5.2822e+10,5.904087785e-05,3.7098
1478.098,-157658.7779,-6998647.027,-7543.640671,169.4903735,7000422.594,7545.544484,-28467696.29,5.2822e+10,5.904087748e-05,3.82705
1556.487,-747731.4454,-6960409.611,-7502.388322,805.5087475,7000457.433,7545.506933,-28467696.29,5.2822e+10,5.904087706e-05,3.91945
1635.14,-1334424.803,-6872132.107,-7407.200356,1437.878407,7000492.072,7545.469597,-28467696.29,5.2822e+10,5.904087664e-05,3.93265
1713.109,-1906567.786,-6735900.94,-7260.327118,2054.558863,7000525.852,7545.433187,-28467696.29,5.2822e+10,5.904087624e-05,3.89845
1792.876,-2477946.799,-6547336.419,-7057.047825,2670.40994,7000559.586,7545.396826,-28467696.29,5.2822e+10,5.904087581e-05,3.98835
1870.72,-3017934.39,-6316672.614,-6808.395792,3252.420856,7000591.468,7545.362462,-28467696.29,5.2822e+10,5.904087543e-05,3.8922
1949.806,-3544773.74,-6036828.268,-6506.737973,3820.255189,7000622.573,7545.328936,-28467696.29,5.2822e+10,5.904087505e-05,3.9543
2028.731,-4044880.9,-5713848.819,-6158.591668,4359.27255,7000652.099,7545.297111,-28467696.29,5.2822e+10,5.904087468e-05,3.94625
2107.729,-4516156.426,-5349191.578,-5765.528069,4867.210907,7000679.924,7545.267121,-28467696.29,5.2822e+10,5.904087434e-05,3.9499
2188.156,-4962322.826,-4938141.39,-5322.465133,5348.083056,7000706.266,7545.238729,-28467696.29,5.2822e+10,5.904087399e-05,4.02135
2268.039,-5368590.988,-4493156.449,-4842.831485,5785.950272,7000730.252,7545.212875,-28467696.29,5.2822e+10,5.904087368e-05,3.99415
2346.323,-5728159.307,-4024762.385,-4337.972005,6173.482885,7000751.482,7545.189994,-28467696.29,5.2822e+10,5.904087343e-05,3.9142
2425.447,-6050164.552,-3522257.287,-3796.351325,6520.529077,7000770.493,7545.169503,-28467696.29,5.2822e+10,5.904087319e-05,3.9562
2504.455,-6327822.111,-2994943.132,-3227.995225,6819.777345,7000786.886,7545.151834,-28467696.29,5.2822e+10,5.904087299e-05,3.9504
