t,type,r,v,details
6197.3141,apocenter,2067067.12,1696.530826,{"ecc": 0.0023915731668367798, "energy": -1444792.5126340021}
7086.65065,pericenter,2066682.878,1700.133005,{"ecc": 0.0024599935028949273, "energy": -1439210.9977514264}
13804.72185,apocenter,2140627.822,1665.705874,{"ecc": 0.003877717276519217, "energy": -1397510.3076727355}
13836.8325,pericenter,2140625.641,1665.812213,{"ecc": 0.0037895256322472326, "energy": -1397336.0110236388}
13843.7355,apocenter,2140625.615,1665.836396,{"ecc": 0.003769310681924162, "energy": -1397295.759355186}
15342.2144,pericenter,2138850.58,1672.458885,{"ecc": 0.0038284874636468837, "energy": -1388552.9582876156}
15349.0192,apocenter,2138850.644,1672.482386,{"ecc": 0.0038484286445101953, "energy": -1388513.5703346794}
15352.3914,pericenter,2138850.69,1672.493917,{"ecc": 0.003858241645318384, "energy": -1388494.2257380753}
21879.2433,apocenter,2211104.689,1638.646275,{"ecc": 0.004222019495190393, "energy": -1353454.7224883635}
23709.68075,pericenter,2208213.256,1646.357247,{"ecc": 0.004242026397602672, "energy": -1344319.623828803}
30407.9308,apocenter,2282366.169,1612.546227,{"ecc": 0.004583711311876273, "energy": -1311705.5349821867}
32510.1926,pericenter,2278507.153,1621.076503,{"ecc": 0.004592286555798719, "energy": -1302337.2873890814}
39470.42655,apocenter,2355400.322,1587.341943,{"ecc": 0.004590789380626833, "energy": -1271044.8114293066}
41674.7377,pericenter,2351389.924,1595.729214,{"ecc": 0.004566560469916817, "energy": -1262012.6820211674}
47884.45832,apocenter,2417119.392,1563.091857,{"ecc": 0.00932658172536932, "energy": -1244620.3095132345}
