t,type,r,v,details
3383.635395,apocenter,7544914.752,6377.747155,{"ecc": 0.055206158892417215, "energy": -22714158.695435714}
6591.452637,pericenter,6833813.717,7083.586205,{"ecc": 0.05566283815927021, "energy": -22443219.795572314}
10174.58369,apocenter,7742285.728,6292.366539,{"ecc": 0.05627773190627664, "energy": -22157542.737386115}
13504.53779,pericenter,6998592.795,7002.788492,{"ecc": 0.056593177374633, "energy": -21893175.54883295}
17213.48548,apocenter,7943588.703,6208.449359,{"ecc": 0.057391053135620526, "energy": -21618867.10729973}
20625.29139,pericenter,7179238.705,6924.931553,{"ecc": 0.05991371521068834, "energy": -21267511.72469015}
24622.12969,apocenter,8283157.533,6067.386782,{"ecc": 0.06126236192677661, "energy": -20808355.37406027}
28232.72939,pericenter,7452282.17,6803.785714,{"ecc": 0.06206268018653049, "energy": -20441378.409321494}
32451.74894,apocenter,8622374.36,5940.692816,{"ecc": 0.06320745415741397, "energy": -20026257.598964185}
36290.02489,pericenter,7722394.198,6688.959006,{"ecc": 0.06371815615886088, "energy": -19691462.148137443}
40536.24439,apocenter,8850434.693,5856.073011,{"ecc": 0.06561033705081143, "energy": -19554631.129447933}
44543.80789,pericenter,7862984.047,6641.547223,{"ecc": 0.06778609809100074, "energy": -19255396.952624425}
49108.53139,apocenter,9182230.44,5739.383449,{"ecc": 0.06884664109469531, "energy": -18904976.03230454}
53425.80306,pericenter,8061881.713,6557.144362,{"ecc": 0.06713261656052741, "energy": -18793214.688504744}
57934.96669,apocenter,9247207.576,5730.980604,{"ecc": 0.06499813264542802, "energy": -18704597.52900807}
62222.68869,pericenter,8237114.338,6481.632505,{"ecc": 0.06536822288157182, "energy": -18428367.32242388}
67061.14929,apocenter,9546035.527,5637.576041,{"ecc": 0.06598613455025605, "energy": -18135934.095903173}
71552.24604,pericenter,8487411.238,6389.275965,{"ecc": 0.06668069441936789, "energy": -17859796.0021552}
76615.29304,apocenter,9859601.687,5543.036353,{"ecc": 0.06738870303609752, "energy": -17582272.814870615}
81328.29874,pericenter,8734038.633,6302.640914,{"ecc": 0.06811326331441049, "energy": -17328894.958558943}
86606.71439,apocenter,10168127.48,5454.172806,{"ecc": 0.0687902675325112, "energy": -17071269.733240396}
91564.81709,pericenter,8971252.364,6221.983271,{"ecc": 0.06921837832370462, "energy": -16850623.228239823}
97057.84099,apocenter,10466927.33,5371.360342,{"ecc": 0.07031305204313273, "energy": -16607571.192381375}
102227.0625,pericenter,9204703.409,6148.164262,{"ecc": 0.07116362602168055, "energy": -16388907.887466542}
107921.8731,apocenter,10762162.92,5293.241982,{"ecc": 0.07169259628426525, "energy": -16172792.680794407}
113317.0476,pericenter,9430266.432,6077.190647,{"ecc": 0.07222214870318257, "energy": -15978670.427691385}
119227.7961,apocenter,11048037.04,5220.794101,{"ecc": 0.07294174658680268, "energy": -15772676.463155756}
124841.3518,pericenter,9651244.2,6010.79793,{"ecc": 0.07349922387531042, "energy": -15591289.360454343}
130949.4322,apocenter,11326152.63,5152.98983,{"ecc": 0.07412822235193915, "energy": -15402422.841803279}
136776.0468,pericenter,9866241.122,5948.389687,{"ecc": 0.07474418533310043, "energy": -15231058.790437434}
143090.1561,apocenter,11601448.15,5087.851896,{"ecc": 0.07544885232138068, "energy": -15055418.956846545}
149126.2124,pericenter,10078843.09,5888.482662,{"ecc": 0.07589946003450987, "energy": -14891146.414438158}
155664.2881,apocenter,11881059.73,5024.804694,{"ecc": 0.0764884732340582, "energy": -14715282.316498265}
161908.585,pericenter,10298197.35,5829.253065,{"ecc": 0.07731010999399081, "energy": -14551694.523823176}
168658.2888,apocenter,12173570.72,4959.689509,{"ecc": 0.07811367828635167, "energy": -14383427.218477052}
175134.3219,pericenter,10515964.87,5772.230922,{"ecc": 0.07867473049760684, "energy": -14229289.111812023}
182103.616,apocenter,12458598.33,4898.956676,{"ecc": 0.0794936026318776, "energy": -14072352.883662844}
188802.0717,pericenter,10728179.05,5718.657265,{"ecc": 0.08010974548109075, "energy": -13926085.697515184}
195990.5233,apocenter,12741117.98,4840.742148,{"ecc": 0.08086091095631966, "energy": -13777726.882388342}
202910.8395,pericenter,10938322.18,5666.413439,{"ecc": 0.081237389864739, "energy": -13641802.985519752}
210307.3614,apocenter,13010758.17,4787.38861,{"ecc": 0.08198407426843948, "energy": -13506223.914931316}
217449.0651,pericenter,11135417.31,5619.367352,{"ecc": 0.08251756604617135, "energy": -13381665.73752148}
225051.2531,apocenter,13271796.56,4737.305829,{"ecc": 0.0830560748979994, "energy": -13253692.405579407}
232397.1152,pericenter,11334329.99,5572.544236,{"ecc": 0.08356997710548657, "energy": -13131759.26115619}
240215.1396,apocenter,13540364.71,4686.919298,{"ecc": 0.08429356103154159, "energy": -13005672.24712621}
247787.6973,pericenter,11529886.81,5528.407225,{"ecc": 0.08487176032936627, "energy": -12890669.77790214}
255808.6119,apocenter,13800092.86,4639.840405,{"ecc": 0.08538398304729508, "energy": -12773722.703920806}
263591.8073,pericenter,11723125.43,5485.427704,{"ecc": 0.08596933965672564, "energy": -12662974.966197299}
271836.8487,apocenter,14072228.77,4591.726752,{"ecc": 0.08658974316712889, "energy": -12540619.327059042}
279839.7311,pericenter,11927543.9,5440.795987,{"ecc": 0.08699974258590679, "energy": -12431934.645415997}
288296.5535,apocenter,14335307.97,4546.572331,{"ecc": 0.08772359320457453, "energy": -12323328.624185998}
