t,type,r,v,details
2981.371139,apocenter,7204880.721,7383.883497,{"ecc": 0.014423275118515181, "energy": -28058754.517853715}
5961.385351,pericenter,7000001.293,7599.998586,{"ecc": 0.014423275138864348, "energy": -28058754.51784518}
8942.344023,apocenter,7204878.727,7383.885571,{"ecc": 0.014423275114340196, "energy": -28058754.51787462}
11921.97709,pericenter,7000003.7,7599.996009,{"ecc": 0.014423275136419911, "energy": -28058754.51786802}
14896.72759,apocenter,7204880.33,7383.883905,{"ecc": 0.01442327511049248, "energy": -28058754.51790126}
17875.10928,pericenter,7000001.029,7599.998868,{"ecc": 0.014423275129322878, "energy": -28058754.517893497}
20854.55807,apocenter,7204880.012,7383.884235,{"ecc": 0.014423275102698616, "energy": -28058754.517926365}
23832.89872,pericenter,7000001.329,7599.998547,{"ecc": 0.014423275131608935, "energy": -28058754.517916474}
26809.10781,apocenter,7204880.944,7383.883266,{"ecc": 0.014423275108579223, "energy": -28058754.517945215}
29786.78783,pericenter,7000000.306,7599.999642,{"ecc": 0.014423275108771177, "energy": -28058754.517944884}
32765.14714,apocenter,7204881.115,7383.883088,{"ecc": 0.014423275108753858, "energy": -28058754.51794474}
35743.25429,pericenter,7000000.249,7599.999703,{"ecc": 0.014423275108763739, "energy": -28058754.5179449}
38721.95032,apocenter,7204881.14,7383.883062,{"ecc": 0.014423275108758076, "energy": -28058754.517945133}
41700.80223,pericenter,7000000.276,7599.999674,{"ecc": 0.014423275108769734, "energy": -28058754.5179448}
44679.41349,apocenter,7204881.117,7383.883086,{"ecc": 0.014423275108758854, "energy": -28058754.517945006}
