t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,3800000,0,0,3360,3800000,3360,-5578057.895,1.2768e+10,0.005946979449,0
25.0572,3799072.878,84185.34484,-73.99739905,3359.18023,3800005.514,3359.995154,-5578057.895,1.2768e+10,0.005946979449,1.25286
29.6931504,3798698.101,99757.59131,-87.68507128,3358.84885,3800007.742,3359.993195,-5578057.895,1.2768e+10,0.005946979449,0.2224128
34.1494656,3798278.035,114724.8722,-100.8409671,3358.477425,3800010.24,3359.990999,-5578057.895,1.2768e+10,0.005946979449,0.2094432
38.3865696,3797824.264,128954.2568,-113.3482434,3358.076197,3800012.939,3359.988627,-5578057.895,1.2768e+10,0.005946979449,0.2084832
42.7888176,3797296.676,143736.3328,-126.3412917,3357.609703,3800016.077,3359.985869,-5578057.895,1.2768e+10,0.005946979449,0.2154912
