t,x,y,vx,vy,r,v,energy,h,e,dt_eff
0,27000000,0,0,-19900,27000000,19900,-55112629.63,5.373e+11,0.5645295058,0
34.586,26994393.54,-688213.7632,-324.173867,-19895.86831,27003165.01,19898.50911,-55112629.63,5.373e+11,0.5645295058,1.7293
148.507,26896800.55,-2951526.351,-1387.446136,-19824.10195,27058259.14,19872.59482,-55112629.63,5.373e+11,0.5645295058,5.69605
258.251,26688994.59,-5119498.687,-2396.172417,-19672.25842,27175571.73,19817.65358,-55112629.63,5.373e+11,0.5645295058,5.4872
355.582,26413086.83,-7024986.34,-3269.294469,-19472.66726,27331329.8,19745.20338,-55112629.63,5.373e+11,0.5645295058,4.86655
456.36,26039237.04,-8974451.39,-4144.534672,-19205.82674,27542379.04,19647.92479,-55112629.63,5.373e+11,0.5645295058,5.0389
568.613,25521205.59,-11110600.39,-5077.131136,-18842.76286,27834823.08,19514.78857,-55112629.63,5.373e+11,0.5645295058,5.61265
677.284,24922616.9,-13136463.53,-5930.873119,-18432.62701,28172744.05,19363.28987,-55112629.63,5.373e+11,0.5645295058,5.43355
772.365,24324931.54,-14870327.76,-6634.226274,-18032.8105,28510155.07,19214.45322,-55112629.63,5.373e+11,0.5645295058,4.75405
866.926,23666200.52,-16555437.3,-7290.919244,-17602.97954,28882028.17,19053.14652,-55112629.63,5.373e+11,0.5645295058,4.72805
959.681,22961712.46,-18167622.15,-7892.240355,-17155.37376,29279732.47,18883.70479,-55112629.63,5.373e+11,0.5645295058,4.63775
1054.993,22181813.69,-19779940.27,-8465.358743,-16673.82636,29720008.34,18699.7001,-55112629.63,5.373e+11,0.5645295058,4.7656
1148.842,21362602.39,-21321846.88,-8985.438086,-16183.13437,30182477.29,18510.31971,-55112629.63,5.373e+11,0.5645295058,4.69245
1245.13,20473524.18,-22855338.21,-9474.133557,-15667.33067,30684388.17,18309.13589,-55112629.63,5.373e+11,0.5645295058,4.8144
1340.732,19546334.66,-24328346.78,-9915.590141,-15147.08971,31207814.01,18103.95687,-55112629.63,5.373e+11,0.5645295058,4.7801
1434.554,18597315.97,-25725350.05,-10308.01255,-14632.36788,31743563.07,17898.63997,-55112629.63,5.373e+11,0.5645295058,4.6911
1527.52,17622430.75,-27061907.74,-10658.76865,-14121.39958,32293914.54,17692.4638,-55112629.63,5.373e+11,0.5645295058,4.6483
1620.115,16620695.21,-28345973.67,-10972.37783,-13614.18785,32859423.8,17485.39923,-55112629.63,5.373e+11,0.5645295058,4.62975
1716.002,15554436.3,-29626373.7,-11261.7076,-13093.14193,33461358.42,17270.10202,-55112629.63,5.373e+11,0.5645295058,4.79435
1814.3,14434296.04,-30887411.73,-11523.29194,-12565.58248,34093710.65,17049.34368,-55112629.63,5.373e+11,0.5645295058,4.9149
1909.789,13323086.06,-32063136.3,-11745.80608,-12061.216,34721021.47,16835.5841,-55112629.63,5.373e+11,0.5645295058,4.77445
2006.958,12171962.92,-33210561.12,-11942.62672,-11557.59892,35370864.44,16619.39907,-55112629.63,5.373e+11,0.5645295058,4.85845
2116.253,10856086.79,-34443371.14,-12131.17309,-11004.10353,36113715.34,16378.51199,-55112629.63,5.373e+11,0.5645295058,5.46475
2210.756,9702986.49,-35461152.6,-12268.49925,-10537.46453,36764674.49,16172.63839,-55112629.63,5.373e+11,0.5645295058,4.72515
2305.695,8532554.314,-36439778.11,-12384.4973,-10080.41243,37425417.99,15968.42159,-55112629.63,5.373e+11,0.5645295058,4.74695
2397.87,7386573.581,-37348935.31,-12477.7928,-9648.279145,38072357.92,15772.90727,-55112629.63,5.373e+11,0.5645295058,4.60875
2493.13,6194077.841,-38247242.82,-12555.89119,-9213.926976,38745556.95,15573.91582,-55112629.63,5.373e+11,0.5645295058,4.763
2586.019,5024878.82,-39083912.84,-12615.64218,-8802.469097,39405604.3,15383.03903,-55112629.63,5.373e+11,0.5645295058,4.64445
2680.589,3829543.914,-39897036.84,-12661.28681,-8395.823254,40080406.12,15192.03843,-55112629.63,5.373e+11,0.5645295058,4.7285
2775.278,2629052.931,-40673238.39,-12692.99008,-8000.975656,40758118.71,15004.25302,-55112629.63,5.373e+11,0.5645295058,4.73445
2867.76,1454228.093,-41395806.47,-12711.63754,-7627.078928,41421341.99,14824.239,-55112629.63,5.373e+11,0.5645295058,4.6241
2957.867,308407.2338,-42067061.17,-12719.13706,-7273.769232,42068191.67,14652.10451,-55112629.63,5.373e+11,0.5645295058,4.50535
3048.107,-839341.4611,-42707882.65,-12717.02318,-6930.592442,42716129.68,14482.94825,-55112629.63,5.373e+11,0.5645295058,4.512
3138.669,-1990588.327,-43320332.41,-12706.07188,-6596.671533,43366042.5,14316.43593,-55112629.63,5.373e+11,0.5645295058,4.5281
3234.196,-3203460.946,-43934109.33,-12685.80082,-6255.534408,44050744.88,14144.30109,-55112629.63,5.373e+11,0.5645295058,4.77635
3326.664,-4375282.198,-44497687.83,-12658.4351,-5935.867111,44712272.55,13981.07641,-55112629.63,5.373e+11,0.5645295058,4.6234
3416.554,-5511701.987,-45017659.66,-12625.20408,-5634.764126,45353815.06,13825.56852,-55112629.63,5.373e+11,0.5645295058,4.4945
3506.244,-6642346.263,-45509913.57,-12586.1272,-5343.527634,45992097.11,13673.47379,-55112629.63,5.373e+11,0.5645295058,4.4845
3596.167,-7772162.984,-45977626.89,-12541.55174,-5060.468594,46629911.99,13524.01059,-55112629.63,5.373e+11,0.5645295058,4.49615
3686.95,-8908490.022,-46424392.99,-12491.57121,-4783.483051,47271402.13,13376.13776,-55112629.63,5.373e+11,0.5645295058,4.53915
3779.594,-10063214.59,-46854800.26,-12435.89054,-4509.609405,47923278.22,13228.30112,-55112629.63,5.373e+11,0.5645295058,4.6322
3873.136,-11223692.68,-47264044.44,-12375.33525,-4241.776433,48578402.34,13082.10953,-55112629.63,5.373e+11,0.5645295058,4.6771
3981.371,-12559125.76,-47706850.28,-12300.38639,-3942.36772,49332293.72,12916.72438,-55112629.63,5.373e+11,0.5645295058,5.41175
4084.238,-13820576.93,-48098187.48,-12224.81703,-3667.831081,50044420.12,12763.1946,-55112629.63,5.373e+11,0.5645295058,5.14335
4186.82,-15070595.95,-48460799.12,-12145.71398,-3403.382669,50750092.74,12613.53961,-55112629.63,5.373e+11,0.5645295058,5.1291
